participant,task,subtask,trial,choice,reward,condition,trial_within_subtask,function
0,0,0,0,0,11.60867149,noncompositional,0.0,poseven
0,0,0,1,5,9.75235313,noncompositional,1.0,poseven
0,0,0,2,1,5.80544301,noncompositional,2.0,poseven
0,0,0,3,0,11.77345455,noncompositional,3.0,poseven
0,0,0,4,0,11.61483886,noncompositional,4.0,poseven
0,1,0,0,3,7.8135994,noncompositional,0.0,negodd
0,1,0,1,1,8.74473663,noncompositional,1.0,negodd
0,1,0,2,0,6.87115017,noncompositional,2.0,negodd
0,1,0,3,5,6.76451542,noncompositional,3.0,negodd
0,1,0,4,2,5.61871694,noncompositional,4.0,negodd
0,2,0,0,0,7.02595021,noncompositional,0.0,negodd
0,2,0,1,5,8.74469954,noncompositional,1.0,negodd
0,2,0,2,4,4.92923031,noncompositional,2.0,negodd
0,2,0,3,5,8.56662726,noncompositional,3.0,negodd
0,2,0,4,5,8.54705043,noncompositional,4.0,negodd
0,3,0,0,2,5.14301383,noncompositional,0.0,posodd
0,3,0,1,5,9.47365199,noncompositional,1.0,posodd
0,3,0,2,4,3.81111348,noncompositional,2.0,posodd
0,3,0,3,5,9.36083633,noncompositional,3.0,posodd
0,3,0,4,5,9.12951681,noncompositional,4.0,posodd
0,4,0,0,0,10.29033518,noncompositional,0.0,poseven
0,4,0,1,2,10.38977872,noncompositional,1.0,poseven
0,4,0,2,4,12.03012621,noncompositional,2.0,poseven
0,4,0,3,5,6.81314797,noncompositional,3.0,poseven
0,4,0,4,4,12.07433793,noncompositional,4.0,poseven
0,5,0,0,0,12.2954512,noncompositional,0.0,negeven
0,5,0,1,2,11.5913942,noncompositional,1.0,negeven
0,5,0,2,1,8.86530988,noncompositional,2.0,negeven
0,5,0,3,0,12.25162712,noncompositional,3.0,negeven
0,5,0,4,0,12.36050358,noncompositional,4.0,negeven
0,6,0,0,5,14.3859233,noncompositional,0.0,posodd
0,6,0,1,3,13.58798741,noncompositional,1.0,posodd
0,6,0,2,5,14.47311597,noncompositional,2.0,posodd
0,6,0,3,5,14.57972969,noncompositional,3.0,posodd
0,6,0,4,5,14.34154997,noncompositional,4.0,posodd
0,7,0,0,0,11.89035067,noncompositional,0.0,negeven
0,7,0,1,5,4.82732891,noncompositional,1.0,negeven
0,7,0,2,1,6.13596793,noncompositional,2.0,negeven
0,7,0,3,0,12.02745489,noncompositional,3.0,negeven
0,7,0,4,0,11.78722221,noncompositional,4.0,negeven
0,8,0,0,3,15.05330424,noncompositional,0.0,posodd
0,8,0,1,5,16.27693262,noncompositional,1.0,posodd
0,8,0,2,5,16.08485425,noncompositional,2.0,posodd
0,8,0,3,5,16.12779763,noncompositional,3.0,posodd
0,8,0,4,5,15.96201393,noncompositional,4.0,posodd
0,9,0,0,5,16.88985828,noncompositional,0.0,posodd
0,9,0,1,5,16.82248342,noncompositional,1.0,posodd
0,9,0,2,4,10.23925833,noncompositional,2.0,posodd
0,9,0,3,5,16.63463115,noncompositional,3.0,posodd
0,9,0,4,5,17.00226567,noncompositional,4.0,posodd
0,10,0,0,0,17.24390961,noncompositional,0.0,negeven
0,10,0,1,2,12.29884681,noncompositional,1.0,negeven
0,10,0,2,0,17.26510873,noncompositional,2.0,negeven
0,10,0,3,0,17.28416399,noncompositional,3.0,negeven
0,10,0,4,0,17.11073562,noncompositional,4.0,negeven
0,11,0,0,2,10.13933795,noncompositional,0.0,negodd
0,11,0,1,5,12.57998257,noncompositional,1.0,negodd
0,11,0,2,4,8.67061076,noncompositional,2.0,negodd
0,11,0,3,5,12.67216648,noncompositional,3.0,negodd
0,11,0,4,5,12.5883589,noncompositional,4.0,negodd
0,12,0,0,0,9.3436826,noncompositional,0.0,poseven
0,12,0,1,5,5.55064921,noncompositional,1.0,poseven
0,12,0,2,1,3.58649404,noncompositional,2.0,poseven
0,12,0,3,3,3.90035505,noncompositional,3.0,poseven
0,12,0,4,0,9.49721737,noncompositional,4.0,poseven
0,13,0,0,0,13.03520864,noncompositional,0.0,poseven
0,13,0,1,5,9.5993439,noncompositional,1.0,poseven
0,13,0,2,2,12.84391349,noncompositional,2.0,poseven
0,13,0,3,2,12.79053933,noncompositional,3.0,poseven
0,13,0,4,2,12.89593387,noncompositional,4.0,poseven
0,14,0,0,5,5.37456772,noncompositional,0.0,negeven
0,14,0,1,0,14.62651919,noncompositional,1.0,negeven
0,14,0,2,1,7.97285679,noncompositional,2.0,negeven
0,14,0,3,0,14.6094054,noncompositional,3.0,negeven
0,14,0,4,0,14.5160707,noncompositional,4.0,negeven
0,15,0,0,2,7.94551676,noncompositional,0.0,negodd
0,15,0,1,5,11.9324304,noncompositional,1.0,negodd
0,15,0,2,0,9.74354361,noncompositional,2.0,negodd
0,15,0,3,5,11.91417566,noncompositional,3.0,negodd
0,15,0,4,5,11.70145607,noncompositional,4.0,negodd
0,16,0,0,5,17.15796251,noncompositional,0.0,negodd
0,16,0,1,0,13.1524365,noncompositional,1.0,negodd
0,16,0,2,5,17.1510575,noncompositional,2.0,negodd
0,16,0,3,5,17.31066546,noncompositional,3.0,negodd
0,16,0,4,5,17.20075659,noncompositional,4.0,negodd
0,17,0,0,3,13.45988542,noncompositional,0.0,posodd
0,17,0,1,5,15.54767561,noncompositional,1.0,posodd
0,17,0,2,0,6.99466533,noncompositional,2.0,posodd
0,17,0,3,5,15.38488473,noncompositional,3.0,posodd
0,17,0,4,5,15.47040473,noncompositional,4.0,posodd
0,18,0,0,0,14.64654713,noncompositional,0.0,poseven
0,18,0,1,5,13.41813457,noncompositional,1.0,poseven
0,18,0,2,2,17.98494127,noncompositional,2.0,poseven
0,18,0,3,2,17.92333698,noncompositional,3.0,poseven
0,18,0,4,2,18.06135694,noncompositional,4.0,poseven
0,19,0,0,3,10.97683447,noncompositional,0.0,negeven
0,19,0,1,0,19.172373,noncompositional,1.0,negeven
0,19,0,2,0,19.04631002,noncompositional,2.0,negeven
0,19,0,3,0,19.2255332,noncompositional,3.0,negeven
0,19,0,4,0,19.20633688,noncompositional,4.0,negeven
1,0,0,0,3,14.57503819,noncompositional,0.0,negodd
1,0,0,1,4,7.19949642,noncompositional,1.0,negodd
1,0,0,2,1,16.37252234,noncompositional,2.0,negodd
1,0,0,3,0,10.35346784,noncompositional,3.0,negodd
1,0,0,4,2,8.57325314,noncompositional,4.0,negodd
1,1,0,0,4,9.56743942,noncompositional,0.0,negeven
1,1,0,1,2,9.62132063,noncompositional,1.0,negeven
1,1,0,2,1,7.14739786,noncompositional,2.0,negeven
1,1,0,3,0,10.12141177,noncompositional,3.0,negeven
1,1,0,4,5,4.687159,noncompositional,4.0,negeven
1,2,0,0,4,11.93858787,noncompositional,0.0,poseven
1,2,0,1,2,10.2592613,noncompositional,1.0,poseven
1,2,0,2,5,6.84453984,noncompositional,2.0,poseven
1,2,0,3,3,6.20170886,noncompositional,3.0,poseven
1,2,0,4,1,4.78546408,noncompositional,4.0,poseven
1,3,0,0,4,11.09139287,noncompositional,0.0,poseven
1,3,0,1,3,4.61676146,noncompositional,1.0,poseven
1,3,0,2,2,9.79265468,noncompositional,2.0,poseven
1,3,0,3,5,4.30483491,noncompositional,3.0,poseven
1,3,0,4,0,10.06785223,noncompositional,4.0,poseven
1,4,0,0,4,6.33708951,noncompositional,0.0,posodd
1,4,0,1,2,5.09405074,noncompositional,1.0,posodd
1,4,0,2,0,3.12345984,noncompositional,2.0,posodd
1,4,0,3,5,13.99395054,noncompositional,3.0,posodd
1,4,0,4,3,14.40708105,noncompositional,4.0,posodd
1,5,0,0,4,9.68324179,noncompositional,0.0,posodd
1,5,0,1,3,16.94609013,noncompositional,1.0,posodd
1,5,0,2,1,13.35520152,noncompositional,2.0,posodd
1,5,0,3,0,5.33950095,noncompositional,3.0,posodd
1,5,0,4,5,17.3079028,noncompositional,4.0,posodd
1,6,0,0,4,6.96870185,noncompositional,0.0,posodd
1,6,0,1,1,8.3070734,noncompositional,1.0,posodd
1,6,0,2,0,5.36211932,noncompositional,2.0,posodd
1,6,0,3,5,12.29763207,noncompositional,3.0,posodd
1,6,0,4,2,6.5613689,noncompositional,4.0,posodd
1,7,0,0,4,8.0474679,noncompositional,0.0,posodd
1,7,0,1,3,13.37524409,noncompositional,1.0,posodd
1,7,0,2,2,6.26768188,noncompositional,2.0,posodd
1,7,0,3,5,14.39923102,noncompositional,3.0,posodd
1,7,0,4,0,6.84219227,noncompositional,4.0,posodd
1,8,0,0,5,4.11294353,noncompositional,0.0,negeven
1,8,0,1,3,6.21146279,noncompositional,1.0,negeven
