participant,task,subtask,trial,choice,reward,condition,trial_within_subtask,function
0,17,0,4,3,7.75945903,noncompositional,4.0,evenpos
0,18,0,0,5,7.20741133,noncompositional,0.0,oddpos
0,18,0,1,5,7.02234355,noncompositional,1.0,oddpos
0,18,0,2,5,7.15156244,noncompositional,2.0,oddpos
0,18,0,3,5,7.07042698,noncompositional,3.0,oddpos
0,18,0,4,5,7.23466175,noncompositional,4.0,oddpos
0,19,0,0,5,0.89900366,noncompositional,0.0,oddneg
0,19,0,1,0,2.66413885,noncompositional,1.0,oddneg
0,19,0,2,1,7.49366824,noncompositional,2.0,oddneg
0,19,0,3,1,7.22915754,noncompositional,3.0,oddneg
0,19,0,4,1,7.2006808,noncompositional,4.0,oddneg
1,0,0,0,1,2.24967685,noncompositional,0.0,poseven
1,0,0,1,1,2.1924069,noncompositional,1.0,poseven
1,0,0,2,0,1.38495935,noncompositional,2.0,poseven
1,0,0,3,1,2.12401273,noncompositional,3.0,poseven
1,0,0,4,5,3.01210041,noncompositional,4.0,poseven
1,1,0,0,0,4.91055619,noncompositional,0.0,negodd
1,1,0,1,1,4.35623645,noncompositional,1.0,negodd
1,1,0,2,2,3.10952689,noncompositional,2.0,negodd
1,1,0,3,0,5.07063406,noncompositional,3.0,negodd
1,1,0,4,1,4.52304778,noncompositional,4.0,negodd
1,2,0,0,0,4.29607607,noncompositional,0.0,posodd
1,2,0,1,2,6.58314773,noncompositional,1.0,posodd
1,2,0,2,0,4.3590398,noncompositional,2.0,posodd
1,2,0,3,2,6.63718468,noncompositional,3.0,posodd
1,2,0,4,0,4.3865075,noncompositional,4.0,posodd
1,3,0,0,5,5.24088994,noncompositional,0.0,negeven
1,3,0,1,3,4.22325663,noncompositional,1.0,negeven
1,3,0,2,5,5.07447393,noncompositional,2.0,negeven
1,3,0,3,3,4.3131437,noncompositional,3.0,negeven
1,3,0,4,0,6.45359212,noncompositional,4.0,negeven
1,4,0,0,0,2.14175302,noncompositional,0.0,posodd
1,4,0,1,2,3.5170274,noncompositional,1.0,posodd
1,4,0,2,5,5.28010375,noncompositional,2.0,posodd
1,4,0,3,3,5.4741297,noncompositional,3.0,posodd
1,4,0,4,0,2.06243736,noncompositional,4.0,posodd
1,5,0,0,5,4.62621488,noncompositional,0.0,posodd
1,5,0,1,3,4.33462522,noncompositional,1.0,posodd
1,5,0,2,5,4.3910367,noncompositional,2.0,posodd
1,5,0,3,3,4.48939712,noncompositional,3.0,posodd
1,5,0,4,0,0.31144635,noncompositional,4.0,posodd
1,6,0,0,0,7.75866781,noncompositional,0.0,negodd
1,6,0,1,5,10.183368,noncompositional,1.0,negodd
1,6,0,2,3,11.32209288,noncompositional,2.0,negodd
1,6,0,3,5,10.35260885,noncompositional,3.0,negodd
1,6,0,4,0,7.8198901,noncompositional,4.0,negodd
1,7,0,0,5,2.38349225,noncompositional,0.0,negeven
1,7,0,1,3,2.74995153,noncompositional,1.0,negeven
1,7,0,2,0,7.67281393,noncompositional,2.0,negeven
1,7,0,3,2,5.87764163,noncompositional,3.0,negeven
1,7,0,4,5,2.56481054,noncompositional,4.0,negeven
1,8,0,0,0,4.55652131,noncompositional,0.0,negeven
1,8,0,1,5,1.32180758,noncompositional,1.0,negeven
1,8,0,2,3,2.27602726,noncompositional,2.0,negeven
1,8,0,3,5,1.13027986,noncompositional,3.0,negeven
1,8,0,4,5,1.19187784,noncompositional,4.0,negeven
1,9,0,0,5,11.03079093,noncompositional,0.0,posodd
1,9,0,1,3,10.84085561,noncompositional,1.0,posodd
1,9,0,2,5,10.83277011,noncompositional,2.0,posodd
1,9,0,3,3,10.83091102,noncompositional,3.0,posodd
1,9,0,4,5,10.95569873,noncompositional,4.0,posodd
1,10,0,0,5,7.83296294,noncompositional,0.0,negodd
1,10,0,1,3,8.42975422,noncompositional,1.0,negodd
1,10,0,2,5,7.82891113,noncompositional,2.0,negodd
1,10,0,3,5,7.76347438,noncompositional,3.0,negodd
1,10,0,4,5,7.70531152,noncompositional,4.0,negodd
1,11,0,0,5,0.5946685,noncompositional,0.0,negeven
1,11,0,1,0,5.62502782,noncompositional,1.0,negeven
1,11,0,2,5,0.68437333,noncompositional,2.0,negeven
1,11,0,3,3,0.77490017,noncompositional,3.0,negeven
1,11,0,4,0,5.71189636,noncompositional,4.0,negeven
1,12,0,0,5,1.61476371,noncompositional,0.0,poseven
1,12,0,1,5,1.43416774,noncompositional,1.0,poseven
1,12,0,2,0,4.81764257,noncompositional,2.0,poseven
1,12,0,3,0,4.69094099,noncompositional,3.0,poseven
1,12,0,4,0,4.86003258,noncompositional,4.0,poseven
1,13,0,0,5,1.12138661,noncompositional,0.0,poseven
1,13,0,1,0,1.22277973,noncompositional,1.0,poseven
1,13,0,2,5,0.83304515,noncompositional,2.0,poseven
1,13,0,3,3,0.54302398,noncompositional,3.0,poseven
1,13,0,4,0,1.24820668,noncompositional,4.0,poseven
1,14,0,0,0,1.31897301,noncompositional,0.0,poseven
1,14,0,1,5,1.30549342,noncompositional,1.0,poseven
1,14,0,2,5,1.40863154,noncompositional,2.0,poseven
1,14,0,3,5,1.45917572,noncompositional,3.0,poseven
1,14,0,4,0,1.2745855,noncompositional,4.0,poseven
1,15,0,0,5,4.11287677,noncompositional,0.0,negodd
1,15,0,1,5,4.30732619,noncompositional,1.0,negodd
1,15,0,2,0,7.76292994,noncompositional,2.0,negodd
1,15,0,3,0,7.5657084,noncompositional,3.0,negodd
1,15,0,4,5,4.29200523,noncompositional,4.0,negodd
1,16,0,0,0,7.40700228,noncompositional,0.0,negeven
1,16,0,1,5,1.70810134,noncompositional,1.0,negeven
1,16,0,2,5,1.49919756,noncompositional,2.0,negeven
1,16,0,3,5,1.83495185,noncompositional,3.0,negeven
1,16,0,4,1,6.89026369,noncompositional,4.0,negeven
1,17,0,0,0,2.62338144,noncompositional,0.0,posodd
1,17,0,1,5,9.8014238,noncompositional,1.0,posodd
1,17,0,2,0,2.67374299,noncompositional,2.0,posodd
1,17,0,3,5,9.74576819,noncompositional,3.0,posodd
